category,keyword,taxonomy_group
"Advanced manufacturing, robotics and automation",automated guided vehicles,Digital
"Advanced manufacturing, robotics and automation",autonomous mobile robot,Digital
"Advanced manufacturing, robotics and automation",cnc robot,Digital
"Advanced manufacturing, robotics and automation",plc ,Digital
"Advanced manufacturing, robotics and automation",program logic controller,Digital
"Advanced manufacturing, robotics and automation",robotic quality inspection,Digital
"Advanced manufacturing, robotics and automation",robotic material handling,Digital
"Advanced manufacturing, robotics and automation",factory automation,Digital
"Advanced manufacturing, robotics and automation",robotic arms,Digital
"Advanced manufacturing, robotics and automation",robotic machining,Digital
"Advanced manufacturing, robotics and automation",automation technology,Digital
"Advanced manufacturing, robotics and automation",robotic process automation,Digital
"Advanced manufacturing, robotics and automation",robotic workcell,Digital
"Advanced manufacturing, robotics and automation",robotic palletizing,Digital
"Advanced manufacturing, robotics and automation",robotic sensor,Digital
"Advanced manufacturing, robotics and automation",robotic actuator,Digital
"Advanced manufacturing, robotics and automation",machine vision,Digital
"Advanced manufacturing, robotics and automation",mechatronics,Digital
"Advanced manufacturing, robotics and automation",robotic control systems,Digital
"Advanced manufacturing, robotics and automation",robotic software,Digital
"Advanced manufacturing, robotics and automation",smart manufacturing,Digital
"Advanced manufacturing, robotics and automation",precision robot,Digital
"Advanced manufacturing, robotics and automation",robot*,Digital
"Advanced manufacturing, robotics and automation",exoskeleton,Digital
"Advanced manufacturing, robotics and automation",3d printing,Digital
"Advanced manufacturing, robotics and automation",single-cell printing,Digital
"Advanced manufacturing, robotics and automation",3d-printed,Digital
"Advanced manufacturing, robotics and automation",3d imaging device,Digital
"Advanced manufacturing, robotics and automation",bioprinting,Digital
"Advanced manufacturing, robotics and automation",bioprint,Digital
"Advanced manufacturing, robotics and automation",additive production,Digital
"Advanced manufacturing, robotics and automation",additive manufacturing,Digital
Internet of Things,internet of things,Digital
Internet of Things, iot ,Digital
Internet of Things,internet of everything,Digital
Internet of Things,industrial iot,Digital
Internet of Things,iiot,Digital
Internet of Things,smart manufacturing,Digital
Internet of Things,connected factory,Digital
Internet of Things,iot in production,Digital
Internet of Things,iot manufacturing systems,Digital
Internet of Things,predictive maintenance,Digital
Internet of Things,iot asset tracking,Digital
Internet of Things,machine-to-machine communication,Digital
Internet of Things,real-time monitoring,Digital
Internet of Things,industrial sensors,Digital
Internet of Things,smart industrial devices,Digital
Internet of Things,iot supply chain,Digital
Internet of Things,factory iot solution,Digital
Internet of Things,industrial connectivity,Digital
Internet of Things,iot quality control,Digital
Internet of Things,iot safety systems,Digital
Internet of Things,energy management iot,Digital
Internet of Things,smart factory technology,Digital
Internet of Things,iot process optimisation,Digital
Augmented and Virtual reality,augmented reality,Digital
Augmented and Virtual reality,virtual reality,Digital
Augmented and Virtual reality,ar/vr,Digital
Augmented and Virtual reality,immersive,Digital
Augmented and Virtual reality,extended reality,Digital
Augmented and Virtual reality, ar ,Digital
Augmented and Virtual reality, vr ,Digital
Augmented and Virtual reality,mixed reality,Digital
Augmented and Virtual reality,vr training,Digital
Augmented and Virtual reality,virtual try-on,Digital
Augmented and Virtual reality,virtual fitting room,Digital
Augmented and Virtual reality,virtual tailor,Digital
Augmented and Virtual reality,metaverse,Digital
Blockchain,smart contracts in manufacturing,Digital
Blockchain,distributed manufacturing ledger,Digital
Blockchain,blockchain,Digital
Blockchain,blockchain-based,Digital
Blockchain,distributed ledger,Digital
Blockchain,ethereum ,Digital
Blockchain, token ,Digital
Blockchain, smart contract,Digital
Blockchain,hyperledger,Digital
Blockchain,crypto,Digital
Blockchain,traceability software,Digital
Renewable energy,biomass,Green
Renewable energy,bioenergy,Green
Renewable energy,biofuel,Green
Renewable energy,biogas,Green
Renewable energy,biomass energy,Green
Renewable energy,biomass power,Green
Renewable energy,biomass plant,Green
Renewable energy,biomass production,Green
Renewable energy,biomass technology,Green
Renewable energy,biomass-based,Green
Renewable energy,biomass-to-energy,Green
Renewable energy,biomass-to-power,Green
Renewable energy,biomass-to-heat,Green
Renewable energy,biomass-to-liquid,Green
Renewable energy,biomass-to-gas,Green
Renewable energy,biomass-to-biofuel,Green
Renewable energy,biomass-to-chemicals,Green
Renewable energy,biomass-to-materials,Green
Renewable energy,biomass-to-products,Green
Renewable energy,biomass-to-heat-and-power,Green
Renewable energy,biomass-to-heat-and,Green
Advanced Sustainable Materials,organic farming,Green
Advanced Sustainable Materials,organic food,Green
Advanced Sustainable Materials,plant-based meal,Green
Advanced Sustainable Materials,food fiber,Green
Advanced Sustainable Materials,protein based,Green
Advanced Sustainable Materials,plant-based,Green
Recycling technologies,recycling technology,Green
Recycling technologies,chemical recycling,Green
Recycling technologies,recycling process,Green
Recycling technologies,waste recovery,Green
Recycling technologies,recycling company,Green
Recycling technologies,compost*,Green
Recycling technologies,anaerobic digestion,Green
Recycling technologies,biochar production,Green
Recycling technologies,water recycling system,Green
Recycling technologies,food waste valorisation,Green
Recycling technologies,food valorisation,Green
Recycling technologies,food valorization,Green
Recycling technologies,energy recovery,Green
Recycling technologies,biomass conversion,Green
Biotechnology,microalgae,Green
Biotechnology,bio-fertilizer,Green
Biotechnology,biotech solution,Green
Biotechnology,biocide,Green
Biotechnology,bioproduct,Green
Biotechnology,fungi-based,Green
Biotechnology,biotechnology based,Green
Biotechnology,biotech company,Green
Biotechnology,molecular biology,Green
Biotechnology,plant-based meat,Green
Biotechnology,biotechnological process,Green
Biotechnology,bio-organic products,Green
Biotechnology,agricultural biotechnology,Green
Biotechnology,bio-cellulose material,Green
Biotechnology,fungi-based food ,Green
Biotechnology,develop crop protection product,Green
Biotechnology,carbon capture,Green
Biotechnology,carbon storage,Green
Biotechnology,CCU,Green
Biotechnology,carbon offset,Green
Biotechnology,plant-based material,Green
Biotechnology,nutritional health food supplement,Green
Biotechnology,biodegradable microcapsules,Green
Biotechnology,microalgae,Green
Biotechnology,precision fermentation,Green
Biotechnology,bioorganic products,Green
Clean production technologies,food loss,Green
Clean production technologies,alternative production,Green
